ID Sk,Word Sk,Frequency Sk,Type Sk,Page Sk,ID Cz,Word G Cz,Page G Cz,Word N Cz,Frequency Cz,Page Cz,Comment
422,jedáleň,7,7,357,,jídelny,,jídelna,9,11,
,jednostrannosť,1,8,539,1109,jednostrannosti,237,jednostrannost,3,121,
,jednotnosť,1,8,542,1168,jednotnosti,238,jednotnost,17,121,
,jemnosť,1,8,539,1103,jemnosti,237,jemnost,2,121,
445,jeseň,54,7,358,,jeseně,,jeseň,1,,
256,Juhoslávia,8,6,136,591,Jugoslávie,198,Jugoslávie,4,28,
8,kačica,15,6,106,,kačice,,kačice,1,,
,kalkulácia,1,6,119,47,kalkulace,188,kalkulace,9,23,
,kalokagatia,1,6,136,496,kalokagathie,197,kalokagathie,1,28,
757,kaluž,8,8,725,770,kaluže,205,kaluž,3,163,
241,kalvária,7,6,134,,kalvárie,,kalvárie,1,,
,kamélia,1,6,130,509,kamélie,197,kamélie,1,28,
,kamenica,1,6,108,248,Kamenice,191,Kamenice,4,25,
414,kampaň,13,7,356,784,kampaně,208,kampaň,10,104,
,kamzica,1,6,111,318,kamzice,192,kamzice,5,26,
,kanalizácia,1,6,122,162,kanalizace,189,kanalizace,13,24,
238,kancelária,25,6,134,649,kanceláře,202,kancelář,23,112,
,kanoe,1,0,271,647,kánoe,201,kánoe,1,29,
,,,,,635,kaple,201,kaple,6,29,
,,,,,418,kapuce,195,kapuce,1,27,
,karoséia,1,6,134,564,karosérie,198,karosérie,66,28,
333,kaša,32,6,208,672,kaše,203,kaše,14,30,
438,kasáreň,13,7,358,,kasárny,,kasárna,1,,
,katalogizácia,1,6,122,149,katalogizace,189,katalogizace,2,24,
246,kategória,32,6,134,569,kategorie,198,kategorie,147,28,
427,kaviareň,20,7,357,,kavárny,,kavárna,9,11,
43,kazateľnica,2,6,108,,kazatelnice,,kazatelnica,1,,
453,kázeň,8,7,358,826,kázně,210,kázeň,24,104,
,kinematografia,1,6,127,451,kinematografie,197,kinematografie,8,27,
114,klasifikácia,5,6,118,22,klasifikace,187,klasifikace,29,23,
,klauza,1,5,221,727,klauze,204,klauze,22,30,
,,,,,227,klekánice,191,klekánice,1,25,
,klenotnica,1,6,109,280,klenotnice,191,klenotnice,2,25,
,klimatizácia,1,6,123,191,klimatizace,189,klimatizace,6,24,
,Kluž,1,4,725,771,Kluže,205,Kluž,2,163,
,,,,,670,Kněževse,203,Kněževes,2,113,
58,knižnica,9,6,110,292,knižnice,191,knižnice,6,25,
155,koalícia,2,6,124,218,koalice,190,koalice,2,25,
412,Kodaň,3,7,356,,Kodaně,,Kodaň,2,104,
,kodifikácia,1,6,118,17,kodifikace,187,kodifikace,11,23,
,,,,,966,kodifikovanosti,236,kodifikovanost,4,119,
,koexistencia,1,6,126,395,koexistence,194,koexistence,2,26,
395,koľaj,20,7,290,608,koleje,199,kolej,25,90,
395,koľaj,20,7,290,608,koleje,199,koleje,23,29,
38,koľajnica,6,6,108,252,kolejnice,191,kolejnice,3,25,
324,kolegyňa,4,6,203,,kolegyně,,kolegyně,1,35,
,kolekcia,1,6,124,343,kolekce,193,kolekce,16,26,
,kolektívnosť,1,8,543,1197,kolektivnosti,238,kolektivnost,3,122,
,kolmica,1,6,107,223,kolmice,191,kolmice,12,25,
310,kôlňa,2,6,202,,kůlny,,kůlna,1,11,
234,kolónia,16,6,133,536,kolonie,198,kolonie,6,28,
,kolonizácia,1,6,123,181,kolonizace,189,kolonizace,4,24,
,Kolumbia,1,6,117,426,Kolumbie,197,Kolumbie,1,27,
125,kombinácia,9,6,119,66,kombinace,188,kombinace,31,23,
198,komédia,14,6,126,431,komedie,197,komedie,7,27,
,komercializácia,1,6,122,154,komercializace,189,komercializace,1,24,
251,komisia,29,6,136,666,komise,203,komise,165,30,
,kompetencia,1,6,126,391,kompetence,194,kompetence,6,26,
670,komplexnosť,3,8,543,1204,komplexnosti,238,komplexnost,6,122,
116,komplikácia,2,6,118,29,komplikace,187,komplikace,14,23,
161,kompozícia,8,6,124,320,kompozice,192,kompozice,5,26,
,komunikácia,1,6,118,30,komunikace,187,komunikace,80,23,
,komutácia,1,6,122,132,komutace,189,komutace,7,24,
135,koncentrácia,7,6,121,99,koncentrace,188,koncentrace,65,23,
193,koncepcia,36,6,126,404,koncepce,194,koncepce,181,27,
,konečnosť,1,8,533,1000,konečnosti,236,konečnost,1,120,
,konfekcia,1,6,124,338,konfekce,193,konfekce,3,26,
186,konferencia,21,6,126,387,konference,194,konference,89,26,
,konfigurácia,1,6,121,105,konfigurace,188,konfigurace,3,23,
,konfrontácia,1,6,121,125,konfrontace,189,konfrontace,13,24,
652,konkrétnosť,4,8,541,,konkrétnosti,,konkrétnost,3,121,
187,konkurencia,4,6,126,389,konkurence,194,konkurence,5,26,
392,konope,4,6,271,,konopí,,konopí,1,85,
,konsolidácia,1,6,117,2,konsolidace,187,konsolidace,6,23,
177,konštrukcia,16,6,125,360,konstrukce,193,konstrukce,107,26,
,kontrakcia,1,6,124,335,kontrakce,193,kontrakce,11,26,
,kontrarevolúcia,1,6,126,415,kontrarevoluce,195,kontrarevoluce,4,27,
,konvencia,1,6,126,400,konvence,194,konvence,5,27,
,konvergencia,1,6,125,381,konvergence,194,konvergence,5,26,
,konverzia,1,6,137,724,konverze,204,konverze,8,30,
,konzervatórium,1,9,324,661,konzervatoře,202,konzervatoř,5,112,
,konzultácia,1,6,121,119,konzultace,188,konzultace,5,24,
,kooperácia,1,6,120,91,kooperace,188,kooperace,20,23,
,koordinácia,1,6,120,69,koordinace,188,koordinace,19,23,
382,kopanice,4,6,240,,kopanice,,kopanice,1,,
,kópia,1,6,134,545,kopie,198,kopie,17,28,
269,kopija,3,6,138,,kopí,,kopí,1,85,
,,,,,282,Kopřivnice,191,Kopřivnice,1,25,
,koprodukcia,1,6,125,357,koprodukce,193,koprodukce,4,26,
,korelácia,1,6,119,37,korelace,187,korelace,7,23,
183,korešpondencia,2,6,125,379,korespondence,194,korespondence,6,26,
503,korisť,9,8,528,903,kořisti,235,kořist,6,119,
272,košeľa,45,6,191,623,košile,200,košile,10,29,
514,kosť,57,8,528,913,kosti,235,kost,44,119,
,,,,,845,kovohutě,212,kovohuť,2,123,
345,koža,38,6,222,772,kůže,205,kůže,66,30,
,,,,,204,krabice,190,krabice,4,24,
752,krádež,3,7,725,751,krádeže,205,krádež,10,163,
,krajnosť,1,8,537,1067,krajnosti,237,krajnost,5,120,
79,krásavica,3,6,110,,krasavice,,krasavice,1,26,
529,krátkosť,3,8,530,,krátkosti,,krátkost,3,119,
,kratochvíľa,1,6,191,625,kratochvíle,200,kratochvíle,1,29,
,kŕč,10,4,236,421,křeče,196,křeč,3,20,
,kreácia,1,6,117,5,kreace,187,kreace,4,23,
,krehkosť,1,8,530,919,křehkosti,235,křehkost,3,119,
44,Kremnica,2,6,108,,Kremnice,,Kremnica,1,,
,kritičnosť,1,8,533,1017,kritičnosti,236,kritičnost,1,120,
,krivosť,1,8,548,1273,křivosti,239,křivost,7,122,
,kríza,33,5,220,709,krize,204,krize,45,30,
,,,,,762,Kroměříže,205,Kroměříž,5,163,
397,kropaj,2,7,290,,krůpěje,,krůpěj,1,,
62,krupica,2,6,110,,krupice,,krupice,1,,
,krutosť,1,8,546,1243,krutosti,239,krutost,4,122,
,kružnica,1,6,110,294,kružnice,191,kružnice,7,25,
738,krv,141,8,562,684,krve,203,krev,62,124,
,,,,,621,krychle,200,krychle,16,29,
,kryštalografia,1,6,127,446,krystalografie,197,krystalografie,6,27,
326,kuchyňa,39,6,203,816,kuchyně,210,kuchyně,20,35,
68,kukurica,19,6,110,302,kukuřice,192,kukuřice,32,25,
127,kulminácia,2,6,120,,kulminace,,kulminace,1,,
,kultivácia,1,6,122,139,kultivace,189,kultivace,3,24,
,kúpa,10,5,204,833,koupě,210,koupě,13,35,
,kúpeľ,6,4,317,616,koupele,200,koupel,9,97,
311,kúpeľňa,12,6,202,,koupelny,,koupelna,2,11,
,kúria,1,6,135,578,kurie,198,kurie,2,28,
73,kutica,2,6,110,,,,,0,,
112,kvalifikácia,4,6,118,19,kvalifikace,187,kvalifikace,48,23,
,kvalifikovanosť,1,8,531,967,kvalifikovanosti,236,kvalifikovanost,1,119,
,,,,,194,kybernetizace,189,kybernetizace,4,24,
93,Kysuca,15,6,111,419,Kysuce,195,Kysuca,1,1,
74,kytica,18,6,110,,kytice,,kytice,2,26,
,laboratórium,4,9,324,659,laboratoře,202,laboratoř,52,112,
,,,,,680,láhve,203,láhev,14,124,
621,ľahkomyselnosť,2,8,538,1099,lehkomyslnosti,237,lehkomyslnost,2,121,
521,ľahkosť,2,8,530,,lehkosti,,lehkost,1,,
609,ľahostajnosť,7,8,537,1070,lhostejnosti,237,lhostejnost,5,120,
218,ľalia,5,6,130,511,lilie,197,lilie,1,28,
701,láskavosť,3,8,546,,laskavosti,,laskavost,1,,
,lata,4,5,208,834,latě,210,lať,10,123,
,,,,,436,latifundie,197,latifundie,1,27,
77,lavica,7,6,110,,lavice,,lavice,4,26,
,,,,,827,lázně,210,lázně,23,35,
,,,,,950,ledabylosti,236,ledabylost,1,119,
,légia,1,6,128,457,legie,197,legie,3,27,
434,lekáreň,4,7,357,,lékárny,,lékárna,2,11,
,lekcia,1,6,124,341,lekce,193,lekce,10,26,
,leukoplakia,1,6,130,499,leukoplakie,197,leukoplakie,1,28,
,levanduľa,1,6,191,640,levandule,201,levandule,1,29,
,levica,1,6,110,315,lvice,192,lvice,9,26,
95,Levoča,6,6,112,424,Levoče,196,Levoča,1,1,
,lexikografia,1,6,127,445,lexikografie,197,lexikografie,1,27,
,lexikológia,1,6,129,478,lexikologie,197,lexikologie,6,28,
,,,,,788,Libně,209,Libeň,8,104,
,liberalizácia,1,6,122,165,liberalizace,189,liberalizace,2,24,
,,,,,402,Liboce,194,Liboc,2,20,
,,,,,809,Libuně,210,Libuň,2,104,
,licencia,1,6,125,375,licence,193,licence,1,26,
,licitácia,1,6,121,111,licitace,188,licitace,1,24,
108,likvidácia,6,6,117,3,likvidace,187,likvidace,14,23,
,,,,,184,linearizace,189,linearizace,4,24,
232,línia,29,6,132,534,linie,198,linie,49,28,
,Lipnica,1,6,108,263,lipnice,191,lipnice,4,25,
,literárnosť,1,8,540,1131,literárnosti,238,literárnost,2,121,
,,,,,637,Litomyšle,201,Litomyšl,4,99,
,liturgia,1,6,130,495,liturgie,197,liturgie,5,28,
379,loď,53,7,240,779,lodě,208,loď,26,23,multiple G
379,loď,53,7,240,865,lodi,227,loď,26,23,multiple G
,Lodž,1,7,240,748,Lodže,205,Lodž,1,163,
,lokácia,1,6,118,32,lokace,187,lokace,1,23,
,lokalizácia,1,6,122,156,lokalizace,189,lokalizace,16,24,
,Lomnica,1,6,108,262,Lomnice,191,Lomnice,2,25,
,lotéria,1,6,134,554,loterie,198,loterie,2,28,
755,lož,19,8,725,,lži,,lež,7,163,
346,lóža,2,6,222,,lóže,,lóže,1,,
,ľúbosť,1,8,528,907,libosti,235,libost,1,119,
,ľudovosť,1,8,548,1281,lidovosti,239,lidovost,3,123,
527,ľudskosť,10,8,530,922,lidskosti,235,lidskost,23,119,
,lúpež,1,7,125,753,loupeže,205,loupež,3,163,
697,ľútosť,26,8,546,,lítosti,,lítost,1,,
,,,,,293,Lužnice,191,Lužnice,6,25,
350,Lyža,6,6,222,774,lyže,205,lyže,4,30,
90,lyžica,17,6,111,329,lžíce,192,lžíce,5,26,
206,mágia,3,6,128,,magie,,magie,1,,
523,mäkkosť,5,8,530,,měkkosti,,měkkost,1,,
83,makovica,2,6,110,,makovice,,makovice,2,26,
641,malichernosť,3,8,540,,malichernosti,,malichernost,1,,
518,maličkosť,15,8,529,,maličkosti,,maličkost,4,119,
,malomyseľnosť,1,8,538,1100,malomyslnosti,237,malomyslnost,1,121,
292,Maňa,3,6,201,,Máni,,Máňa,1,,
753,manéž,2,7,725,,manéže,,manéž,1,,
229,mánia,4,6,132,,mánie,,mánie,1,,
,manifestácia,1,6,121,131,manifestace,189,manifestace,8,24,
,manipulácia,1,6,119,52,manipulace,188,manipulace,20,23,
287,marhuľa,4,6,191,,mahule,,marhule,1,,
239,Mária,22,6,134,549,Marie,198,Marie,21,28,
336,Mariša,10,6,208,,Maryši,,Maryša,1,,
,masáž,1,7,725,739,masáže,204,masáž,10,163,
,mašinéria,1,6,134,562,mašinérie,198,mašinérie,3,28,
281,mašľa,4,6,191,,mašle,,mašle,1,,
493,masť,9,8,527,,masti,,mast,1,,
401,maštaľ,30,7,317,,maštale,,maštal,1,,
462,mater,71,7,394,,mateře,,máteř,1,,
244,matéria,2,6,134,,matérie,,matérie,1,28,
,matica,1,6,110,305,matice,192,matice,55,26,
,mechanizácia,1,6,123,176,mechanizace,189,mechanizace,16,24,
371,meď,6,8,240,861,mědi,227,měď,24,23,
,medaila,3,5,189,622,medaile,200,medaile,15,29,
100,medza,23,6,115,700,meze,204,mez,25,163,
,,,,,504,megaanomálie,197,megaanomálie,1,28,
223,melanchólia,2,6,130,513,melancholie,198,melancholie,1,28,
,meliorácia,1,6,120,97,meliorace,188,meliorace,23,23,
200,melódia,16,6,127,437,melodie,197,melodie,15,27,
,menejcennosť,1,8,539,1112,méněcennosti,237,méněcennost,2,121,
,metalurgia,1,6,130,493,metalurgie,197,metalurgie,2,28,
16,metelica,3,6,107,,metelice,,metelice,1,,
,metodológia,1,6,128,463,metodologie,197,metodologie,35,27,
,metráž,1,7,725,736,metráže,204,metráž,1,163,
,metropola,8,5,190,631,metropole,201,metropole,4,29,
,Mezopotámia,1,6,131,515,Mezopotámie,198,Mezopotámie,6,28,
656,miestnosť,29,8,542,1175,místnosti,238,místnost,69,121,
40,mihalnica,3,6,108,,,,,0,,
,,,,,546,mikrokopie,198,mikrokopie,1,28,
274,míľa,16,6,191,,míle,,míle,2,29,
,milícia,1,6,124,220,milice,190,milice,11,25,
548,milosť,10,8,530,941,milosti,236,milost,5,119,
,mimoriadnosť,1,8,534,1027,mimořádnosti,237,mimořádnost,4,120,
91,minca,13,6,111,401,mince,194,mince,11,27,
,minimalizácia,1,6,122,158,minimalizace,189,minimalizace,10,24,
553,minulosť,104,8,531,948,minulosti,236,minulost,87,119,
,misia,1,6,136,582,misie,198,misie,1,28,
,mitochondria,1,6,134,551,mitochondrie,198,mitochondrie,3,28,
751,mládež,41,7,725,750,mládeže,205,mládež,163,163,
509,mladosť,34,8,528,,mladosti,,mladost,1,119,
,mlčanlivosť,1,8,547,1262,mlčenlivosti,239,mlčenlivost,1,122,
433,mliekáreň,2,7,357,,mlékárny,,mlékárna,3,11,
,,,,,1058,mluvenosti,237,mluvenost,11,120,
,,,,,288,mluvnice,191,mluvnice,32,25,
511,mnohosť,2,8,528,,mnohosti,,mnohost,1,119,
,mnohoznačnosť,1,8,532,996,mnohoznačnosti,236,mnohoznačnost,2,120,
144,mobilizácia,5,6,122,,mobilizace,,mobilizace,3,24,
355,moc,154,8,232,849,moci,226,moc,43,20,
572,mocnosť,11,8,532,990,mocnosti,236,mocnost,6,120,
,modernizácia,1,6,123,182,modernizace,189,modernizace,19,24,
,modifikácia,1,6,118,18,modifikace,187,modifikace,13,23,
659,mohutnosť,2,8,542,1179,mohutnosti,238,mohutnost,3,122,
,Moldávia,1,6,136,589,Moldávie,198,Moldávie,1,28,
,monarchia,1,6,130,497,monarchie,197,monarchie,7,28,
,monografia,1,6,127,448,monografie,197,monografie,6,27,
,montáž,1,7,725,745,montáže,205,montáž,20,163,
,morfológia,1,6,128,468,morfologie,197,morfologie,16,27,
,mosadz,1,7,240,1302,mosazi,241,mosaz,3,163,
,motivácia,1,6,122,141,motivace,189,motivace,69,24,
,,,,,974,motivovanosti,236,motivovanost,1,119,
673,možnosť,136,8,544,1217,možnosti,239,možnost,371,122,
,mravnosť,1,8,542,1184,mravnosti,238,mravnost,10,122,
343,mreža,14,6,222,763,mříže,205,mříž,7,163,
,mrkva,6,5,218,682,mrkve,203,mrkev,4,124,
696,mrzutosť,3,8,546,,mrzutosti,,mrzutost,1,,
425,mučiareň,2,7,357,,mučírny,,mučírna,1,,
680,múdrosť,8,8,544,1223,moudrosti,239,moudrost,3,122,
,múmia,1,6,132,529,mumie,198,mumie,2,28,
,munícia,1,6,124,281,munice,191,munice,3,25,
282,mušľa,5,6,191,,mušle,,mušle,1,29,
675,mužnosť,2,8,544,,mužnosti,,mužnost,1,122,
,,,,,440,mykogeografie,197,mykogeografie,1,27,
,mykológia,1,6,129,479,mykologie,197,mykologie,2,28,
404,myseľ,119,7,317,870,mysli,229,mysl,36,99,
,,,,,1265,myslivosti,239,myslivost,4,122,
,mystifikácia,1,6,118,25,mystifikace,187,mystifikace,2,23,
,mytológia,1,6,129,491,mytologie,197,mytologie,1,28,
,nadbytočnosť,1,8,534,1005,nadbytečnosti,236,nadbytečnost,1,120,
400,nádej,89,7,291,610,naděje,199,naděje,33,29,
,nadpráca,1,6,106,200,nadpráce,190,nadpráce,11,24,
,nadriadenosť,1,8,535,1060,nadřízenosti,237,nadřízenost,1,120,
756,nádrž,11,7,725,768,nádrže,205,nádrž,19,163,
,náklonnosť,1,8,539,1123,náklonnosti,238,náklonnost,3,121,
,náladovosť,1,8,548,1280,náladovosti,239,náladovost,1,123,
690,náležitosť,2,8,545,1237,náležitosti,239,náležitost,17,122,
,nálož,1,7,725,767,nálože,205,nálož,1,163,
,napätosť,1,8,544,1227,napjatosti,239,napjatost,2,122,
459,náplň,5,7,358,801,náplně,210,náplň,29,104,
,náročnosť,1,8,533,1022,náročnosti,237,náročnost,36,120,
596,národnosť,22,8,534,1040,národnosti,237,národnost,9,120,
367,náruč,6,7,236,,náruče,,náruč,1,,
720,náruživosť,2,8,548,,náruživosti,,náruživost,1,,
,nasiakavosť,1,8,546,1246,nasákavosti,239,nasákavost,4,122,
,násilnosť,1,8,538,1091,násilnosti,237,násilnost,2,121,
,nasýtenosť,1,8,536,1046,nasycenosti,237,nasycenost,2,120,
220,naturália,2,6,130,,naturálie,,naturálie,1,,
,,,,,1207,návaznosti,239,návaznost,16,122,
,návštevnosť,1,8,543,1190,návštěvnosti,238,návštěvnost,4,122,
,názornosť,1,8,540,1139,názornosti,238,názornost,7,121,
735,nechuť,5,8,549,,nechuti,,nechuť,1,123,
,nečinnosť,1,8,539,1118,nečinnosti,238,nečinnost,2,121,
,necitlivosť,1,8,547,1267,necitlivosti,239,necitlivost,1,122,
533,nedbalosť,2,8,530,,nedbalosti,,nedbalost,3,119,
271,nedeľa,78,6,191,620,neděle,200,neděle,44,29,
700,nedočkavosť,3,8,546,,nedočkavosti,,nedočkavost,1,,
,nedokonalosť,1,8,530,927,nedokonalosti,235,nedokonalost,3,119,
623,nedotknuteľnosť,2,8,539,1089,nedotknutelnosti,237,nedotknutelnost,1,121,
,,,,,1086,neeliminovatelnosti,237,neeliminovatelnost,1,121,
,negácia,1,6,117,9,negace,187,negace,4,23,
,nehodovosť,1,8,548,1282,nehodovosti,239,nehodovost,1,123,
,nehospodárnosť,1,8,540,1130,nehospodárnosti,238,nehospodárnost,1,121,
,nehumánnosť,1,8,539,1110,nehumánnosti,237,nehumánnost,1,121,
567,nehybnosť,6,8,532,,nehybnosti,,nehybnost,1,119,
,nejasnosť,1,8,541,1147,nejasnosti,238,nejasnost,11,121,
,nejednotnosť,1,8,542,1169,nejednotnosti,238,nejednotnost,1,121,
580,nekonečnosť,2,8,533,,nekonečnosti,,nekonečnost,2,120,
630,nemennosť,2,8,539,,neměnnosti,,neměnnost,1,121,
356,nemoc,8,8,232,850,nemoci,226,nemoc,38,20,
25,nemocnica,41,6,107,231,nemocnice,191,nemocnice,15,25,
,nemocnosť,1,8,532,991,nemocnosti,236,nemocnost,7,120,
575,nemohúcnosť,3,8,532,,nemohoucnosti,,nemohoucnost,1,,
,nemovitosť,1,8,545,1236,nemovitosti,239,nemovitost,5,122,
674,nemožnosť,9,8,544,,nemožnosti,,nemožnost,4,122,
663,nemravnosť,2,8,542,,nemravnosti,,nemravnost,1,,
504,nenávisť,34,8,528,904,nenávisti,235,nenávist,6,119,
,,,,,1073,neoficiálnosti,237,neoficiálnost,1,120,
,neomylnosť,1,8,538,1102,neomylnosti,237,neomylnost,1,121,
475,nepamäť,2,8,495,884,nepaměti,235,nepaměť,1,123,
,,,,,1009,neperiodičnosti,236,neperiodičnost,1,120,
,,,,,1158,neplatnosti,238,neplatnost,4,121,
,nepravidelnosť,1,8,537,1081,nepravidelnosti,237,nepravidelnost,6,121,
649,nepresnosť,4,8,541,1149,nepřesnosti,238,nepřesnost,3,121,
,nepriazeň,1,7,358,829,nepřízně,210,nepřízeň,1,104,
625,nepríjemnosť,2,8,539,,nepříjemnosti,,nepříjemnost,5,121,
,neprípustnosť,1,8,542,1177,nepřípustnosti,238,nepřípustnost,1,121,
,neprítomnosť,1,8,539,1108,nepřítomnosti,237,nepřítomnost,10,121,
,nereálnosť,1,8,537,1072,nereálnosti,237,nereálnost,1,120,
,neredukovateľnosť,1,8,538,1085,neredukovatelnosti,237,neredukovatelnost,1,121,
,neresť,1,8,528,899,neřesti,235,neřest,1,119,
,nerovnosť,1,8,543,1203,nerovnosti,238,nerovnost,8,122,
595,nerozhodnosť,2,8,534,1038,nerozhodnosti,237,nerozhodnost,4,120,
637,neschopnosť,2,8,540,1126,neschopnosti,238,neschopnost,14,121,
,,,,,698,nesnáze,204,nesnáz,8,163,
,,,,,757,nesoutěže,205,nesoutěž,1,163,
703,nespavosť,2,8,546,,nespavosti,,nespavost,1,,
,,,,,1229,nespojitosti,239,nespojitost,4,122,
,,,,,1050,nespokojenosti,237,nespokojenost,6,120,
613,nespokojnosť,6,8,537,,,,,,,
,,,,,1078,nespravedlnosti,237,nespravedlnost,1,120,
,nesprávnosť,1,8,543,1187,nesprávnosti,238,nesprávnost,2,122,
711,nespravodlivosť,2,8,547,,,,,0,,
540,nestálosť,2,8,530,,nestálosti,,nestálost,1,119,
,,,,,911,nestejnorodosti,235,nestejnorodost,2,119,
,nesúmernosť,1,8,540,1134,nesouměrnosti,238,nesouměrnost,2,121,
,,,,,577,nesymetrie,198,nesymetrie,5,28,
,netečnosť,1,8,533,1003,netečnosti,236,netečnost,1,120,
716,netrpezlivosť,2,8,547,,netrpělivosti,,netrpělivost,1,122,
,,,,,476,neurofyziologie,197,neurofyziologie,2,28,
,,,,,1069,neveřejnosti,237,neveřejnost,1,120,
634,nevinnosť,6,8,539,,nevinnosti,,nevinnost,1,,
279,nevoľa,3,6,191,,nevole,,nevole,2,29,
,nevoľnosť,1,8,539,1095,nevolnosti,237,nevolnost,2,121,
622,nevyčerpateľnosť,2,8,538,,nevyčerpatelnosti,,nevyčerpatelnost,1,,
661,nevyhnutnosť,22,8,542,,,,,0,,
560,nezamestnanosť,4,8,531,960,nezaměstnanosti,236,nezaměstnanost,8,119,
551,nezávislosť,3,8,531,945,nezávislosti,236,nezávislost,12,119,
,nezbytnosť,1,8,542,1181,nezbytnosti,238,nezbytnost,8,122,
538,neznalosť,3,8,530,930,neznalosti,235,neznalost,6,119,
,neznášanlivosť,1,8,547,1263,nesnášenlivosti,239,nesnášenlivost,3,122,
672,nežnosť,4,8,544,1214,nežnosti,239,nežnost,2,122,
,nezrovnalosť,1,8,530,928,nesrovnalosti,235,nesrovnalost,1,119,
482,niť,14,7,512,,niti,,nit,1,,
482,niť,14,7,512,,nitě,,nit,1,,
,níž,1,7,725,760,níže,205,níže,11,30,
361,noc,433,8,232,857,noci,226,noc,55,20,
,,,,,348,nonfikce,193,nonfikce,2,26,
,normalizácia,1,6,122,161,normalizace,189,normalizace,10,24,
,Normandia,1,6,126,434,Normandie,197,Normandie,3,27,
339,noša,2,6,208,,nůše,,nůše,1,,
207,nostalgia,4,6,128,459,nostalgie,197,nostalgie,1,27,
,novelizácia,1,6,122,170,novelizace,189,novelizace,4,24,
722,novosť,2,8,548,1287,novosti,239,novost,5,123,
105,núdza,4,6,115,,nouze,,nouze,4,30,
,nutácia,1,6,122,133,nutace,189,nutace,4,24,
660,nutnosť,2,8,542,1180,nutnosti,238,nutnost,55,122,
352,obec,48,7,225,202,obce,190,obec,97,18,
,obecnosť,1,8,532,988,obecnosti,236,obecnost,8,120,
476,obeť,42,7,496,881,oběti,235,oběť,13,123,
705,obetavosť,5,8,547,1250,obětavosti,239,obětavost,11,122,
57,obežnica,3,6,109,,oběžnice,,oběžnice,1,,
,objektivácia,1,6,122,138,objektivace,189,objektivace,1,24,
,objektivizácia,1,6,124,197,objektivizace,189,objektivizace,2,24,
,oblačnosť,1,8,532,995,oblačnosti,236,oblačnost,29,120,
490,oblasť,138,8,527,891,oblasti,235,oblast,685,119,
393,obličaj,3,7,290,,obličeje,,obličej,22,90,
598,obludnosť,2,8,534,,obludnosti,,obludnost,1,,
599,obmedzenosť,2,8,535,1059,omezenosti,237,omezenost,8,120,
,obranyschopnosť,1,8,540,1127,obranyschopnosti,238,obranyschopnost,2,121,
,obratnosť,1,8,541,1159,obratnosti,238,obratnost,3,121,
441,obrazáreň,2,7,358,,obrazárny,,obrazárna,1,,
644,obrazotvornosť,6,8,540,,obrazotvornosti,,obrazotvornost,1,,
368,obruč,5,7,236,,obruče,,obruč,1,,
,observácia,1,6,122,145,observace,189,observace,2,24,
,observatórium,1,9,324,660,observatoře,202,observatoř,8,112,
,obťažnosť,1,8,544,1215,obtížnosti,239,obtížnost,5,122,
,,,,,764,obtíže,205,obtíž,30,163,
739,obuv,3,8,562,1301,obuvi,241,obuv,47,125,
394,obyčaj,12,7,290,,obyčeje,,obyčej,1,90,
402,oceľ,13,7,317,614,ocele,200,ocel,47,97,multiple G
402,oceľ,13,7,317,868,oceli,229,ocel,47,97,multiple G
,odbornosť,1,8,540,1136,odbornosti,238,odbornost,8,121,
,odlišnosť,1,8,541,1153,odlišnosti,238,odlišnost,10,121,
376,odpoveď,86,7,240,863,odpovědi,227,odpověď,82,23,
,,,,,1033,odpovědnosti,237,odpovědnost,62,120,
33,okenica,2,6,108,,okenice,,okenice,2,???????,
618,okolnosť,62,8,538,1093,okolnosti,237,okolnost,71,121,
128,okupácia,2,6,120,81,okupace,188,okupace,13,23,
,Olomouc,1,4,232,417,Olomouce,195,Olomouc,23,20,
,olša,1,6,208,675,olše,203,olše,2,30,
338,omša,4,6,208,,mše,,mše,1,,
,ontogenéza,1,5,219,704,ontogeneze,204,ontogeneze,3,30,
213,ontológia,2,6,129,489,ontologie,197,ontologie,8,28,
,opakovateľnosť,1,8,538,1084,opakovatelnosti,237,opakovatelnost,2,121,
,opatrnosť,1,8,541,1141,opatrnosti,238,opatrnost,10,121,
131,operácia,37,6,120,90,operace,188,operace,59,23,
,operatívnosť,1,8,543,1191,operativnosti,238,operativnost,1,122,
60,opica,9,6,110,297,opice,191,opice,4,25,
162,opozícia,12,6,124,322,opozice,192,opozice,4,26,
,optimalizácia,1,6,122,159,optimalizace,189,optimalizace,3,24,
126,ordinácia,2,6,120,68,ordinace,188,ordinace,4,23,
147,organizácia,121,6,123,175,organizace,189,organizace,590,24,
561,organizovanosť,4,8,532,975,organizovanosti,236,organizovanost,4,119,
142,orientácia,12,6,121,120,orientace,188,orientace,60,24,
,ornica,1,6,109,269,ornice,191,ornice,4,25,
,ortodoxnosť,1,8,543,1205,ortodoxnosti,239,ortodoxnost,1,122,
,ortoepia,1,6,133,544,ortoepie,198,ortoepie,2,28,
,ortuť,1,8,551,1299,rtuti,240,rtuť,7,123,
544,osamelosť,2,8,530,,osamělosti,,osamělost,1,,
603,osamotenosť,2,8,536,,,,,0,,
,oscilácia,1,6,119,39,oscilace,187,oscilace,3,23,
,,,,,1014,oscilatoričnosti,236,oscilatoričnost,1,120,
565,osobnosť,18,8,532,982,osobnosti,236,osobnost,117,119,
